timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665959291374,93,Bikes-0,301,Moved Permanently,Thread Group 1-8,,true,,395,135,3,3,http://rangers-bikes.firebaseapp.com/allbikes,93,0,46
1665959291467,49,Bikes-1,404,Not Found,Thread Group 1-8,text,false,,11204,135,3,3,https://rangers-bikes.firebaseapp.com/allbikes,49,0,0
1665959291406,155,Bikes,404,Not Found,Thread Group 1-9,text,false,,11598,270,2,2,https://rangers-bikes.firebaseapp.com/allbikes,93,0,47
1665959291406,93,Bikes-0,301,Moved Permanently,Thread Group 1-9,,true,,395,135,2,2,http://rangers-bikes.firebaseapp.com/allbikes,93,0,47
1665959291500,61,Bikes-1,404,Not Found,Thread Group 1-9,text,false,,11203,135,2,2,https://rangers-bikes.firebaseapp.com/allbikes,61,0,0
1665959291461,150,Bikes,404,Not Found,Thread Group 1-10,text,false,,11598,270,2,2,https://rangers-bikes.firebaseapp.com/allbikes,95,0,48
1665959291461,95,Bikes-0,301,Moved Permanently,Thread Group 1-10,,true,,395,135,2,2,http://rangers-bikes.firebaseapp.com/allbikes,95,0,48
1665959291556,55,Bikes-1,404,Not Found,Thread Group 1-10,text,false,,11203,135,2,2,https://rangers-bikes.firebaseapp.com/allbikes,55,0,0
1665959291561,151,Rannger,200,OK,Thread Group 1-9,text,true,,4005,254,2,2,https://rangers-bikes.firebaseapp.com/,95,0,47
1665959291561,95,Rannger-0,301,Moved Permanently,Thread Group 1-9,,true,,387,127,2,2,http://rangers-bikes.firebaseapp.com/,95,0,47
1665959291656,56,Rannger-1,200,OK,Thread Group 1-9,text,true,,3618,127,2,2,https://rangers-bikes.firebaseapp.com/,56,0,0
1665959291611,140,Rannger,200,OK,Thread Group 1-10,text,true,,4005,254,2,2,https://rangers-bikes.firebaseapp.com/,91,0,46
1665959291611,91,Rannger-0,301,Moved Permanently,Thread Group 1-10,,true,,387,127,2,2,http://rangers-bikes.firebaseapp.com/,91,0,46
1665959291702,49,Rannger-1,200,OK,Thread Group 1-10,text,true,,3618,127,2,2,https://rangers-bikes.firebaseapp.com/,49,0,0
1665959291712,156,About,404,Not Found,Thread Group 1-9,text,false,,11596,264,2,2,https://rangers-bikes.firebaseapp.com/about,95,0,48
1665959291712,95,About-0,301,Moved Permanently,Thread Group 1-9,,true,,392,132,2,2,http://rangers-bikes.firebaseapp.com/about,95,0,48
1665959291807,61,About-1,404,Not Found,Thread Group 1-9,text,false,,11204,132,2,2,https://rangers-bikes.firebaseapp.com/about,61,0,0
1665959291751,150,About,404,Not Found,Thread Group 1-10,text,false,,11596,264,2,2,https://rangers-bikes.firebaseapp.com/about,96,0,48
1665959291751,96,About-0,301,Moved Permanently,Thread Group 1-10,,true,,392,132,2,2,http://rangers-bikes.firebaseapp.com/about,96,0,48
1665959291847,54,About-1,404,Not Found,Thread Group 1-10,text,false,,11204,132,2,2,https://rangers-bikes.firebaseapp.com/about,54,0,0
1665959291868,169,Bikes,404,Not Found,Thread Group 1-9,text,false,,11599,270,2,2,https://rangers-bikes.firebaseapp.com/allbikes,109,0,55
1665959291868,109,Bikes-0,301,Moved Permanently,Thread Group 1-9,,true,,395,135,2,2,http://rangers-bikes.firebaseapp.com/allbikes,109,0,55
1665959291978,59,Bikes-1,404,Not Found,Thread Group 1-9,text,false,,11204,135,2,2,https://rangers-bikes.firebaseapp.com/allbikes,59,0,0
1665959291901,147,Bikes,404,Not Found,Thread Group 1-10,text,false,,11599,270,1,1,https://rangers-bikes.firebaseapp.com/allbikes,91,0,46
1665959291901,91,Bikes-0,301,Moved Permanently,Thread Group 1-10,,true,,395,135,1,1,http://rangers-bikes.firebaseapp.com/allbikes,91,0,46
1665959291992,56,Bikes-1,404,Not Found,Thread Group 1-10,text,false,,11204,135,1,1,https://rangers-bikes.firebaseapp.com/allbikes,56,0,0
